,Unnamed: 0.1,Unnamed: 0,symbol,name,curr_market_price,pe_ratio,book_value,divident,roce,roe,face_value,market_cap,about
991,991,991,NCLIND,NCL Industries Ltd,213.0,12.8,188.0,1.88,15.8,11.3,10.0,965.0,"NCL Industries Ltd is principally engaged in the business of manufacturing and selling of Cement, Ready Mix Concrete, Cement Bonded Particle Boards, Doors, and operates two Small Hydro Power projects."
992,992,992,NDGL,Naga Dhunseri Group Ltd,3690.0,8.75,8661.0,0.07,4.71,4.29,10.0,369.0,"Incorporated in 1995, Naga Dhunseri Group Ltd operates as an investment company"
993,993,993,NDL,Nandan Denim Ltd,,,,,,,,,"Incorporated in 1994, Nandan Denim Ltd manufactures Denim, Shirting materials, Yarn and various types of fabrics"
994,994,994,NDTV,New Delhi Television Ltd,191.0,,40.1,0.0,-4.17,-7.35,4.0,1226.0,"New Delhi Television Limited (NDTV) is in the business of television media and currently operates three channels including a dual-channel (NDTV 24x7, NDTV India, and NDTV Profit).  NDTV, through its subsidiaries, has expanded its presence beyond news and television into digital content, e-commerce, etc."
995,995,995,NECCLTD,North Eastern Carrying Corporation Ltd,31.7,67.7,8.52,0.0,11.2,7.32,10.0,301.0,"Incorporated in 1984, North Eastern Carrying Corporation Ltd is in the "
996,996,996,NECLIFE,Nectar Lifescience Ltd,42.2,154.0,47.7,0.0,5.97,0.46,1.0,949.0,"Incorporated in 1995, Nectar Lifesciences "
997,997,997,NELCAST,Nelcast Ltd,144.0,31.8,59.7,0.28,10.1,8.05,2.0,1241.0,"Incorporated in 1982, Nelcast Ltd "
998,998,998,NELCO,NELCO Ltd,1062.0,108.0,54.2,0.21,23.4,20.7,10.0,2428.0,"Nelco, a part of Tata Group, started in 1940 as a electronics company. Nelco offers solutions in areas of VSAT connectivity, Satcom Projects "
999,999,999,NEOGEN,Neogen Chemicals Limited,,,,,,,,,
1000,1000,1000,NESCO,NESCO Ltd,972.0,20.0,298.0,0.62,21.8,16.7,2.0,6851.0,"NESCO is engaged in the businesses of Licencing premises in IT park buildings and providing related services, licencing premises for exhibitions and providing services to the organisers, manufacturing of machines and capital equipment, and providing hospitality and catering services.(Source : 202003 Annual Report Page No:74)"
1001,1001,1001,NESTLEIND,Nestle India Ltd,,,,,,,,,Nestle India Limited is a subsidiary of Nestle which is a Swiss MNC. The company operates in the Food segment.
1002,1002,1002,NETWORK18,Network 18 Media & Investments Ltd,84.3,,66.6,0.0,-0.28,-6.64,5.0,8822.0,"Network 18 Media & Investments is engaged in activities spanning across Digital Content, Print and Allied Businesses.(Source : 202003-01 Annual Report Page No:15)"
1003,1003,1003,NEULANDLAB,Neuland Laboratories Limited,,,,,,,,,
1004,1004,1004,NEWGEN,Newgen Software Technologies Ltd,1323.0,69.0,87.2,0.3,26.6,22.6,10.0,18557.0,Newgen Software Technologies is a global software Company and is engaged in the business of software product development including designing and delivering end-to-end software solutions covering the entire spectrum of software services from workflow automation to Document management to imaging.
1005,1005,1005,NEXTMEDIA,Next Mediaworks Ltd,7.6,,-13.1,0.0,-8.37,,10.0,50.8,"Incorporated in 1981, Next Mediaworks Ltd. is primarily engaged in the business of FM Radio broadcasting. The Co. through its subsidiary Next Radio Ltd. runs the “Radio One” channel. "
1006,1006,1006,NFL,National Fertilizer Ltd,128.0,23.9,52.1,0.21,6.7,5.58,10.0,6269.0,"National Fertilizers Limited is engaged in production and marketing of Neem Coated Urea, Bio-Fertilizers (solid & liquid) and other allied Industrial products. It is also engaged in trading of Imported and Domestic Fertilizers, Compost, Seeds and other Agro products. "
